entry_date,expiry_date,expired,S_entry,K_short,K_long,width,IV,net_credit,S_expiry,spread_value,pnl_per_share,pnl_total,max_loss,cum_pnl,year
2022-03-28,2022-04-27,True,449.97,418.07,398.84,19.24,27.0,2.0537,423.75,0.0,2.0537,205.37,1718.19,205.37,2022
2022-03-29,2022-04-28,True,452.85,420.93,401.67,19.26,26.8,2.0546,414.43,6.4925,-4.4378,-443.78,1720.43,-238.40999999999997,2022
2022-03-30,2022-04-29,True,456.74,424.17,404.54,19.63,27.2,2.098,411.34,12.8321,-10.734,-1073.4,1753.58,-1311.81,2022
2022-03-31,2022-04-29,True,454.82,422.42,402.88,19.53,27.1,2.0871,411.34,11.0795,-8.9924,-899.24,1744.73,-2211.05,2022
2022-04-01,2022-05-02,True,464.97,432.0,412.12,19.88,27.0,2.1228,413.05,18.9458,-16.823,-1682.3,1775.91,-3893.3500000000004,2022
2022-04-04,2022-05-04,True,461.44,428.4,408.49,19.91,27.3,2.1286,410.27,18.1268,-15.9982,-1599.82,1778.01,-5493.17,2022
2022-04-05,2022-05-05,True,457.98,425.24,405.52,19.73,27.2,2.1086,416.11,9.1359,-7.0273,-702.73,1761.82,-6195.9,2022
2022-04-06,2022-05-06,True,459.21,427.14,407.79,19.36,26.6,2.0624,410.74,16.4021,-14.3397,-1433.97,1729.51,-7629.87,2022
2022-04-07,2022-05-06,True,447.51,415.98,396.96,19.02,26.8,2.0288,410.74,5.2411,-3.2123,-321.23,1699.01,-7951.1,2022
2022-04-08,2022-05-09,True,440.63,409.21,390.28,18.94,27.2,2.0234,412.38,0.0,2.0234,202.34,1691.26,-7748.76,2022
2022-04-11,2022-05-11,True,434.51,403.79,385.26,18.53,26.9,1.9779,402.36,1.4322,0.5456,54.56,1655.35,-7694.2,2022
2022-04-12,2022-05-12,True,443.47,412.57,393.9,18.66,26.5,1.9878,406.79,5.78,-3.7922,-379.22,1667.42,-8073.42,2022
2022-04-13,2022-05-13,True,443.55,413.11,394.72,18.39,26.1,1.9551,406.03,7.0834,-5.1283,-512.83,1643.67,-8586.25,2022
2022-04-14,2022-05-13,True,439.7,409.3,390.94,18.36,26.3,1.9539,406.03,3.2749,-1.321,-132.1,1641.02,-8718.35,2022
2022-04-15,2022-05-16,True,432.07,401.75,383.45,18.3,26.7,1.9509,407.83,0.0,1.9509,195.09,1634.73,-8523.26,2022
2022-04-18,2022-05-18,True,427.98,397.88,379.72,18.16,26.8,1.9371,409.09,0.0,1.9371,193.71,1622.56,-8329.550000000001,2022
2022-04-19,2022-05-19,True,423.92,393.34,374.92,18.42,27.5,1.9713,393.53,0.0,1.9713,197.13,1644.64,-8132.420000000001,2022
2022-04-20,2022-05-20,True,423.49,393.31,375.11,18.19,27.1,1.9439,393.7,0.0,1.9439,194.39,1624.93,-7938.030000000001,2022
2022-04-21,2022-05-20,True,428.21,398.31,380.26,18.05,26.6,1.9234,393.7,4.6105,-2.6871,-268.71,1612.88,-8206.74,2022
2022-04-22,2022-05-23,True,429.16,399.87,382.17,17.71,26.0,1.8809,393.9,5.9711,-4.0902,-409.02,1582.59,-8615.76,2022
2022-04-25,2022-05-25,True,420.64,391.49,373.88,17.61,26.4,1.8741,400.49,0.0,1.8741,187.41,1573.42,-8428.35,2022
2022-04-26,2022-05-26,True,424.81,395.46,377.73,17.73,26.3,1.8864,395.5,0.0,1.8864,188.64,1584.53,-8239.710000000001,2022
2022-04-27,2022-05-27,True,423.75,394.51,376.84,17.67,26.3,1.8795,400.46,0.0,1.8795,187.95,1579.01,-8051.760000000001,2022
