entry_date,expiry_date,expired,S_entry,K,IV,premium,S_expiry,intrinsic,pnl_per_share,pnl_total,cum_pnl,year,month
2022-03-28,2022-04-27,True,449.97,500.24,27.0,1.5974,423.75,0.0,1.5974,159.74,159.74,2022,2022-03
2022-03-29,2022-04-28,True,452.85,503.13,26.8,1.5986,414.43,0.0,1.5986,159.86,319.6,2022,2022-03
2022-03-30,2022-04-29,True,456.74,508.1,27.2,1.6312,411.34,0.0,1.6312,163.12,482.72,2022,2022-03
2022-03-31,2022-04-29,True,454.82,505.91,27.1,1.6228,411.34,0.0,1.6228,162.28,645.0,2022,2022-03
2022-04-01,2022-05-02,True,464.97,516.93,27.0,1.6511,413.05,0.0,1.6511,165.11,810.11,2022,2022-04
2022-04-04,2022-05-04,True,461.44,513.54,27.3,1.6545,410.27,0.0,1.6545,165.45,975.56,2022,2022-04
2022-04-05,2022-05-05,True,457.98,509.59,27.2,1.6392,416.11,0.0,1.6392,163.92,1139.48,2022,2022-04
2022-04-06,2022-05-06,True,459.21,509.67,26.6,1.6061,410.74,0.0,1.6061,160.61,1300.0900000000001,2022,2022-04
2022-04-07,2022-05-06,True,447.51,497.16,26.8,1.5786,410.74,0.0,1.5786,157.86,1457.9500000000003,2022,2022-04
2022-04-08,2022-05-09,True,440.63,490.15,27.2,1.5732,412.38,0.0,1.5732,157.32,1615.2700000000002,2022,2022-04
2022-04-11,2022-05-11,True,434.51,482.92,26.9,1.5386,402.36,0.0,1.5386,153.86,1769.13,2022,2022-04
2022-04-12,2022-05-12,True,443.47,492.11,26.5,1.5482,406.79,0.0,1.5482,154.82,1923.95,2022,2022-04
2022-04-13,2022-05-13,True,443.55,491.39,26.1,1.5243,406.03,0.0,1.5243,152.43,2076.38,2022,2022-04
2022-04-14,2022-05-13,True,439.7,487.51,26.3,1.5225,406.03,0.0,1.5225,152.25,2228.63,2022,2022-04
2022-04-15,2022-05-16,True,432.07,479.82,26.7,1.5183,407.83,0.0,1.5183,151.83,2380.46,2022,2022-04
2022-04-18,2022-05-18,True,427.98,475.39,26.8,1.5073,409.09,0.0,1.5073,150.73,2531.19,2022,2022-04
2022-04-19,2022-05-19,True,423.92,472.17,27.5,1.5314,393.53,0.0,1.5314,153.14,2684.33,2022,2022-04
2022-04-20,2022-05-20,True,423.49,471.07,27.1,1.5114,393.7,0.0,1.5114,151.14,2835.47,2022,2022-04
2022-04-21,2022-05-20,True,428.21,475.28,26.6,1.4978,393.7,0.0,1.4978,149.78,2985.25,2022,2022-04
2022-04-22,2022-05-23,True,429.16,475.18,26.0,1.467,393.9,0.0,1.467,146.7,3131.95,2022,2022-04
2022-04-25,2022-05-25,True,420.64,466.49,26.4,1.4601,400.49,0.0,1.4601,146.01,3277.96,2022,2022-04
2022-04-26,2022-05-26,True,424.81,470.97,26.3,1.47,395.5,0.0,1.47,147.0,3424.96,2022,2022-04
2022-04-27,2022-05-27,True,423.75,469.74,26.3,1.4648,400.46,0.0,1.4648,146.48,3571.44,2022,2022-04
2022-04-28,2022-05-27,True,414.43,459.68,26.4,1.4408,400.46,0.0,1.4408,144.08,3715.52,2022,2022-04
2022-04-29,2022-05-30,True,411.34,457.06,26.9,1.4535,397.07,0.0,1.4535,145.35,3860.87,2022,2022-04
2022-05-02,2022-06-01,True,413.05,457.88,26.3,1.4279,392.96,0.0,1.4279,142.79,4003.66,2022,2022-05
2022-05-03,2022-06-02,True,414.66,459.39,26.1,1.4253,390.41,0.0,1.4253,142.53,4146.19,2022,2022-05
2022-05-04,2022-06-03,True,410.27,455.21,26.5,1.4304,391.77,0.0,1.4304,143.04,4289.23,2022,2022-05
2022-05-05,2022-06-03,True,416.11,461.81,26.6,1.4546,391.77,0.0,1.4546,145.46,4434.69,2022,2022-05
2022-05-06,2022-06-06,True,410.74,456.07,26.7,1.4421,391.48,0.0,1.4421,144.21,4578.9,2022,2022-05
2022-05-09,2022-06-08,True,412.38,458.31,26.9,1.4599,381.01,0.0,1.4599,145.99,4724.889999999999,2022,2022-05
2022-05-10,2022-06-09,True,409.19,454.87,27.0,1.4515,379.81,0.0,1.4515,145.15,4870.039999999999,2022,2022-05
2022-05-11,2022-06-10,True,402.36,447.08,26.9,1.4216,390.01,0.0,1.4216,142.16,5012.199999999999,2022,2022-05
2022-05-12,2022-06-10,True,406.79,452.41,27.1,1.4494,390.01,0.0,1.4494,144.94,5157.1399999999985,2022,2022-05
2022-05-13,2022-06-13,True,406.03,452.12,27.4,1.463,391.15,0.0,1.463,146.3,5303.439999999999,2022,2022-05
2022-05-16,2022-06-15,True,407.83,453.6,27.1,1.454,380.13,0.0,1.454,145.4,5448.839999999998,2022,2022-05
2022-05-17,2022-06-16,True,409.63,456.27,27.5,1.4802,378.76,0.0,1.4802,148.02,5596.859999999999,2022,2022-05
2022-05-18,2022-06-17,True,409.09,456.48,28.0,1.5019,378.26,0.0,1.5019,150.19,5747.049999999998,2022,2022-05
2022-05-19,2022-06-17,True,393.53,440.48,28.7,1.4845,378.26,0.0,1.4845,148.45,5895.499999999998,2022,2022-05
2022-05-20,2022-06-20,True,393.7,440.34,28.6,1.4753,384.26,0.0,1.4753,147.53,6043.029999999998,2022,2022-05
2022-05-23,2022-06-22,True,393.9,439.36,27.9,1.4411,396.02,0.0,1.4411,144.11,6187.139999999998,2022,2022-05
2022-05-24,2022-06-23,True,392.33,437.8,28.0,1.4411,399.08,0.0,1.4411,144.11,6331.249999999997,2022,2022-05
2022-05-25,2022-06-24,True,400.49,445.97,27.4,1.4435,393.07,0.0,1.4435,144.35,6475.599999999998,2022,2022-05
2022-05-26,2022-06-24,True,395.5,440.43,27.4,1.4261,393.07,0.0,1.4261,142.61,6618.209999999997,2022,2022-05
2022-05-27,2022-06-27,True,400.46,445.72,27.3,1.4373,393.32,0.0,1.4373,143.73,6761.939999999997,2022,2022-05
2022-05-30,2022-06-29,True,397.07,442.4,27.6,1.4383,378.08,0.0,1.4383,143.83,6905.769999999997,2022,2022-05
2022-05-31,2022-06-30,True,397.3,443.08,27.8,1.4514,372.78,0.0,1.4514,145.14,7050.909999999997,2022,2022-05
2022-06-01,2022-07-01,True,392.96,438.27,27.8,1.4365,368.27,0.0,1.4365,143.65,7194.559999999997,2022,2022-06
